Superficie frut’cola ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hect‡reas;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A–os;;;;;;;;;;;;;;;;;;;;;;;;;;;
Especie;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Variaci—n;Participaci—n
 Almendro ;5,121.93;5,121.69;5,112.66;5,122.10;5,540.42;5,691.21;5,820.14;5,822.35;5,827.23;6,192.29;6,924.16;7,617.13;8,545.18;8,548.87;8,547.90;8,569.45;8,088.94;8,113.50;8,341.32;8,863.40;8,866.78;9,057.40;9,386.64;9,401.03;8,724.21;8,324.11;-4.60%;2.20%
 Ar‡ndano americano ;258.36;1,098.49;1,179.06;1,221.10;1,251.01;1,324.64;1,361.20;3,820.47;5,664.56;5,953.08;6,779.24;7,005.57;7,302.69;12,405.40;14,752.67;14,505.90;14,573.13;15,800.50;15,707.49;15,815.05;18,373.36;18,375.28;18,215.61;17,821.50;17,631.36;14,037.99;-20.40%;4.70%
 Avellano ;30.28;43.04;874.1;874.1;868.85;868.35;868.03;1,553.17;3,439.00;3,439.00;3,439.00;3,439.67;3,439.67;5,722.38;8,663.66;8,686.88;8,712.10;13,108.74;13,109.76;13,103.55;24,436.78;24,429.50;24,455.81;36,393.23;36,375.10;49,263.54;35.40%;9.70%
 Babaco ;1.1;1.1;1.1;0.8;0.8;0.8;;;;;;;0.02;0.02;0.02;0.02;;0.01;0.01;0.01;;; - ; - ; - ;;;
 Calafate ;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0.2;0.24;0.24;;-100.00%;0.00%
 Caqui ;334.01;327.61;236.83;205.06;182.55;145.39;145.66;145.47;145.09;127.12;132.92;111.78;106.78;111.76;106.55;101.99;91.08;99.98;105.74;111.19;112.15;111.52;117.28;114.13;104.45;84.11;-19.50%;0.00%
 Casta–o ;187.86;161.96;298.02;297.62;297.27;297.27;297.27;348.07;366.49;366.49;366.49;366.49;366.49;575.09;470.27;472.77;472.77;962.9;960.4;960.4;1,262.80;1,262.80;1,261.75;1,470.00;1,470.00;1,455.70;-1.00%;0.40%
 Cerezo ;3,241.34;3,698.90;5,085.21;5,157.41;6,893.62;7,073.84;7,117.28;7,620.89;9,922.09;10,053.90;12,467.64;13,143.12;13,173.65;13,641.53;16,242.94;16,932.89;20,590.75;24,498.27;25,109.31;30,179.12;38,391.79;39,645.43;48,960.53;61,559.13;63,494.85;76,447.40;20.40%;16.40%
 Chirimoyo ;1,196.61;1,196.61;1,196.61;877.95;879.73;849.19;757.06;757.06;757.06;632.19;630.11;624.36;522.58;522.58;522.58;474.99;450.54;451.36;455.96;404.77;404.39;393.34;343.47;343.18;275.61;276.39;0.30%;0.10%
 Ciruelo europeo ;4,862.70;4,855.55;4,817.38;4,788.13;5,620.98;5,975.08;5,968.62;5,976.26;6,451.91;6,575.01;11,183.62;12,442.29;12,456.17;12,510.61;12,583.26;11,796.42;11,987.84;11,952.12;12,000.97;12,931.62;13,030.48;12,589.14;12,450.72;12,529.91;12,268.73;13,495.96;10.00%;3.30%
 Ciruelo japonŽs ;6,582.18;6,581.80;7,095.63;7,044.91;8,300.62;8,494.72;8,474.47;8,486.02;8,437.46;8,061.17;7,351.92;6,208.61;6,203.66;6,190.60;5,971.10;5,611.58;5,352.26;5,325.61;5,029.53;4,800.23;4,780.63;4,520.45;4,150.96;3,916.56;3,726.75;4,067.55;9.10%;1.00%
 Cranberry ;;425.5;425.5;425.5;425.5;425.5;425.5;439.65;439.65;439.65;439.65;439.65;439.65;685.27;685.27;685.27;685.27;725.67;725.67;725.67;780.08;780.08;780.08;818.23;818.23;695.52;-15.00%;0.20%
