Monto CIF en USD;;;;;;;;;;;;;;;;;
A–o;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Acomulado hasta diciembre;;;;
2025;8.544,6;16.540,3;112.418,8;187.636,8;189.375,3;462.097,0;213.921,5;220.012,5;;;;;hasta agosto: 1410546,62;;;;
2024;0,0;0,0;150.411,3;0,0;326.159,0;0,0;0,0;442.075,8;113.784,4;0,0;161.935,2;149.650,0;1.344.015,7;;;;
2023; - ; 284.659,2 ; - ; 159.774,0 ; 44.499,9 ; 325.543,2 ; - ; 164.049,8 ; 175.883,9 ; - ; 47.416,5 ; 299.772,0 ; 1.501.598,4 ;;;;
2022;0,0;0,0;99.000,0;141.024,7;151.343,0;394.577,0;0,0;0,0;123.662,1;157.080,0;151.343,0;0,0;1.218.029,7;;;;
2021; 336.330,8 ; 153.556,4 ; 116.988,9 ; 290.940,0 ; 261.705,2 ; - ; 337,1 ; 428.385,8 ; 166.711,9 ; - ; 1.339,6 ; 65,7 ; 1.756.361,2 ;;;;
2020; 136.146,3 ; 114.655,9 ; - ; 135.488,0 ; - ; - ; - ; 180.388,0 ; - ; 123.650,2 ; 118.389,6 ; 208.992,8 ; 1.017.710,8 ;;;;
2019; - ; 121.019,9 ; 110.193,5 ; - ; 1.350,9 ; - ; 235.597,7 ; 238.184,3 ; 123.975,0 ; - ; - ; - ; 830.321,3 ;;;;
2018; - ; - ; - ; 61.792,4 ; 104,6 ; - ; 95.250,0 ; - ; - ; - ; 97.239,8 ; - ; 254.386,8 ;;;;
2017; -   ; 46.282,5 ; -   ; 92.647,1 ; -   ; -   ; 46.236,1 ; 97.124,0 ; -   ; 3.960,6 ; 44.822,2 ; 19.110,8 ; 350.183,3 ;;;;
2016; 26,0 ; 618.210,1 ; -   ; 87.576,0 ; -   ; 106.306,1 ; 135.630,5 ; 105.783,0 ; -   ; -   ; -   ; -   ; 1.053.531,7 ;;;;
2015; -   ; 139.743,1 ; -   ; -   ; 181.378,1 ; 112.704,2 ; 65.616,0 ; -   ; -   ; -   ; -   ; 988,0 ; 500.429,2 ;;;;
2014; 126.280,5 ; -   ; 19.470,4 ; -   ; 292.656,6 ; 208.104,7 ; -   ; 64.921,3 ; -   ; -   ; -   ; 80.649,8 ; 792.083,2 ;;;;
2013;;;;;;;;;;;;;861451,04;;;;
2012;;;;;;;;;;;;;955204,57;;;;
;;;;;;;;;;;;;;;;;
 -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
