Monto CIF en USD de importaci—n del Pistacho;;;;;;;;;;;;;;;;;
A–o;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Acomulado hasta diciembre;;;;
2025;8.544,6;16.540,3;112.418,8;187.636,8;189.375,3;462.097,0;213.921,5;220.012,5;;;;;hasta agosto: 1410546,62;;;;
2024;0,0;0,0;150.411,3;0,0;326.159,0;0,0;0,0;442.075,8;113.784,4;0,0;161.935,2;149.650,0;1.344.015,7;;;;
2023; - ; 284.659,2 ; - ; 159.774,0 ; 44.499,9 ; 325.543,2 ; - ; 164.049,8 ; 175.883,9 ; - ; 47.416,5 ; 299.772,0 ; 1.501.598,4 ;;;;
2022;0,0;0,0;99.000,0;141.024,7;151.343,0;394.577,0;0,0;0,0;123.662,1;157.080,0;151.343,0;0,0;1.218.029,7;;;;
2021; 336.330,8 ; 153.556,4 ; 116.988,9 ; 290.940,0 ; 261.705,2 ; - ; 337,1 ; 428.385,8 ; 166.711,9 ; - ; 1.339,6 ; 65,7 ; 1.756.361,2 ;;;;
2020; 136.146,3 ; 114.655,9 ; - ; 135.488,0 ; - ; - ; - ; 180.388,0 ; - ; 123.650,2 ; 118.389,6 ; 208.992,8 ; 1.017.710,8 ;;;;
2019; - ; 121.019,9 ; 110.193,5 ; - ; 1.350,9 ; - ; 235.597,7 ; 238.184,3 ; 123.975,0 ; - ; - ; - ; 830.321,3 ;;;;
2018; - ; - ; - ; 61.792,4 ; 104,6 ; - ; 95.250,0 ; - ; - ; - ; 97.239,8 ; - ; 254.386,8 ;;;;
2017; -   ; 46.282,5 ; -   ; 92.647,1 ; -   ; -   ; 46.236,1 ; 97.124,0 ; -   ; 3.960,6 ; 44.822,2 ; 19.110,8 ; 350.183,3 ;;;;
2016; 26,0 ; 618.210,1 ; -   ; 87.576,0 ; -   ; 106.306,1 ; 135.630,5 ; 105.783,0 ; -   ; -   ; -   ; -   ; 1.053.531,7 ;;;;
2015; -   ; 139.743,1 ; -   ; -   ; 181.378,1 ; 112.704,2 ; 65.616,0 ; -   ; -   ; -   ; -   ; 988,0 ; 500.429,2 ;;;;
2014; 126.280,5 ; -   ; 19.470,4 ; -   ; 292.656,6 ; 208.104,7 ; -   ; 64.921,3 ; -   ; -   ; -   ; 80.649,8 ; 792.083,2 ;;;;
2013;;;;;;;;;;;;;861451,04;;;;
2012;;;;;;;;;;;;;955204,57;;;;
;;;;;;;;;;;;;;;;;
 -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Monto CIF en USD de importaciones de Almendras;;;;;;;;;;;;;;;;;
A–o;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Acomulado hasta diciembre;;;;
2025;2.216.273,5;1.089.807,2;2.486.184,9;1.777.563,2;1.406.745,1;4.177.944,5;1.563.400,8;4.473.812,1;;;;;hasta agosto: 19191731,39;;;;
2024;579.009,3;619.893,0;1.696.173,9;2.100.880,5;1.658.583,1;696.340,4;1.860.653,3;1.612.477,5;2.224.132,4;1.080.701,3;2.643.323,9;1.525.982,9;18.298.151,5;;;;
2023; 502.471,6 ; 559.023,3 ; 1.482.585,7 ; 1.546.764,5 ; 1.620.503,2 ; 703.629,9 ; 1.263.590,3 ; 1.201.010,9 ; 1.023.557,2 ; 430.381,6 ; 370.604,1 ; 599.823,0 ; 11.303.945,2 ;;;;
2022;2.420.022,4;887.567,0;1.280.217,8;1.913.389,6;1.444.337,4;3.204.598,0;2.112.381,4;1.488.997,1;955.511,2;1.074.396,7;841.905,5;710.773,9;18.334.097,8;;;;
2021; 2.642.453,5 ; 1.376.198,3 ; 1.525.179,3 ; 1.777.099,0 ; 2.096.607,9 ; 1.085.231,9 ; 1.741.689,9 ; 1.790.096,7 ; 2.450.711,3 ; 1.398.554,7 ; 1.675.168,7 ; 2.495.784,5 ; 22.054.775,8 ;;;;
2020; 1.449.064,7 ; 1.404.497,0 ; 1.723.518,0 ; 1.377.380,4 ; 2.042.265,9 ; 1.270.418,9 ; 2.015.393,9 ; 2.258.699,2 ; 1.867.863,1 ; 1.033.153,9 ; 2.438.106,7 ; 2.247.759,9 ; 21.128.121,5 ;;;;
2019; 1.887.870,2 ; 621.853,1 ; 1.026.386,2 ; 1.414.191,5 ; 1.226.212,3 ; 1.093.683,2 ; 955.469,6 ; 808.567,1 ; 1.215.953,5 ; 1.247.667,9 ; 1.795.343,7 ; 2.654.000,4 ; 15.947.198,7 ;;;;
2018; 1.943.593,2 ; 1.537.611,8 ; 1.717.145,4 ; 1.678.115,7 ; 1.102.056,1 ; 1.529.672,6 ; 795.264,3 ; 2.281.217,0 ; 1.536.458,7 ; 1.300.427,9 ; 1.036.210,5 ; 1.437.202,4 ; 17.894.975,4 ;;;;
2017; 1.037.300,5 ; 316.713,2 ; 1.591.517,2 ; 1.959.339,1 ; 985.781,7 ; 1.315.243,2 ; 1.817.713,7 ; 2.508.217,9 ; 995.761,5 ; 700.029,3 ; 1.376.437,2 ; 1.998.219,6 ; 16.602.274,1 ;;;;
2016; 1.422.868,5 ; 831.234,6 ; 795.988,4 ; 1.218.551,0 ; 1.211.952,5 ; 583.023,7 ; 677.327,6 ; 2.428.444,0 ; 502.572,4 ; 1.476.104,9 ; 3.058.020,6 ; 2.194.378,5 ; 16.400.466,7 ;;;;
2015; 3.171.274,7 ; 1.521.978,6 ; 2.826.004,1 ; -   ; 1.397.864,6 ; 3.636.641,8 ; 3.320.219,4 ; 3.986.767,5 ; 2.282.907,9 ; 534.244,8 ; 1.030.995,9 ; 1.897.330,1 ; 25.606.229,4 ;;;;
2014; 3.981.834,4 ; 1.778.188,8 ; 2.909.747,3 ; 2.313.334,6 ; 3.340.358,8 ; 5.068.906,1 ; 3.413.575,5 ; 1.792.123,6 ; 1.671.777,2 ; 1.207.564,1 ; 3.077.255,7 ; 3.920.001,9 ; 34.474.667,9 ;;;;
2013;;;;;;;;;;;;;21.174.090,1;;;;
2012;;;;;;;;;;;;;13.103.143,5;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Monto CIF en USD de importaciones de Avallana;;;;;;;;;;;;;;;;;
A–o;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Acomulado hasta diciembre;;;;
2025;0,0;0,0;0,0;0,0;632.869,3;126.573,9;506.295,4;502.687,5;;;;;hasta agosto: 1768425,98;;;;
2024;0,0;0,0;0,0;0,0;0,0;0,0;0,0;386.099,8;0,0;0,0;0,0;0,0;386.099,8;;;;
2023;0,0; - ; - ; - ; - ; - ; 935.670,9 ; 654.335,1 ; - ; - ; - ; - ; 1.590.006,0 ;;;;
2022;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1.170.656,2;55.102,6;0,0;0,0;0,0;1.225.758,9;;;;
2021;0,0; - ; - ; - ; - ; - ; 821.071,4 ; - ; - ; - ; - ; - ; 821.071,4 ;;;;
2020;0,0; - ; - ; - ; - ; 610.932,0 ; 610.932,0 ; - ; - ; 496.529,0 ; 87.836,8 ; - ; 1.806.229,8 ;;;;
2019;0,0; - ; - ; - ; - ;610.932,0;610.932,0; - ; - ;496.529,0;87.836,8; - ;1.806.229,8;;;;
2018;0,0; - ; - ; - ; 224.754,0 ; 224.754,0 ; 374.590,0 ; - ; 272.141,0 ; - ; - ; - ; 1.096.239,0 ;;;;
2017;;;;;;;;;;;;;datos no disponibles;;;;
2016; 2.350,8 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 220,9 ; -   ; -   ; -   ; 2.571,7 ;;;;
2015; -   ; 10.707,9 ; -   ; 2.055,5 ; -   ; -   ; -   ; 2.752,4 ; -   ; 1.231,3 ; -   ; 397,0 ; 17.144,1 ;;;;
2014; -   ; -   ; -   ; -   ; 80.727,4 ; -   ; -   ; -   ; 2.209,2 ; -   ; -   ; -   ; 82.936,6 ;;;;
2013;;;;;;;;;;;;;129.011,8;;;;
2012;;;;;;;;;;;;;113.072,1;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Monto CIF en USD de importaciones de casta–a;;;;;;;;;;;;;;;;;
A–o;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Acomulado hasta diciembre;;;;
