Producto;Año;Mes;Valor en CIF
Avellana;2016;Enero;2350.8
Avellana;2015;Febrero;10707.9
Avellana;2015;Abril;2055.5
Avellana;2025;Mayo;632869.3
Avellana;2018;Mayo;224754.0
Avellana;2014;Mayo;80727.4
Avellana;2025;Junio;126573.9
Avellana;2020;Junio;610932.0
Avellana;2019;Junio;610932.0
Avellana;2018;Junio;224754.0
Avellana;2025;Julio;506295.4
Avellana;2023;Julio;935670.9
Avellana;2021;Julio;821071.4
Avellana;2020;Julio;610932.0
Avellana;2019;Julio;610932.0
Avellana;2018;Julio;374590
Avellana;2025;Agosto;502687.5
Avellana;2024;Agosto;386099.8
Avellana;2023;Agosto;654335.1
Avellana;2022;Agosto;1170656.2
Avellana;2015;Agosto;2752.4
Avellana;2025;Septiembre;1487970.3
Avellana;2022;Septiembre;55102.6
Avellana;2018;Septiembre;272141.0
Avellana;2016;Septiembre;220.9
Avellana;2014;Septiembre;2209.2
Avellana;2020;Octubre;496529.0
Avellana;2019;Octubre;496529.0
Avellana;2015;Octubre;1231.3
Avellana;2020;Noviembre;87836.8
Avellana;2019;Noviembre;87836.8
Avellana;2015;Diciembre;397.0
Avellana;2014;Diciembre;
