Producto;Año;Mes;Valor en CIF
Nuez;2022;Enero;62169.7
Nuez;2021;Enero;82800.1
Nuez;2020;Enero;331623.6
Nuez;2021;Febrero;127000.2
Nuez;2020;Febrero;116456.2
Nuez;2019;Febrero;139920
Nuez;2018;Febrero;73953.2
Nuez;2021;Marzo;41339.8
Nuez;2023;Abril;20
Nuez;2021;Mayo;46778.0
Nuez;2020;Mayo;5708.4
Nuez;2024;Junio;55576.6
Nuez;2021;Junio;55050
Nuez;2020;Junio;82365.0
Nuez;2023;Julio;52199.9
Nuez;2022;Julio;301619.9
Nuez;2021;Julio;153644.7
Nuez;2020;Julio;108628.5
Nuez;2019;Julio;120612.8
Nuez;2025;Agosto;120000
Nuez;2023;Agosto;69301.6
Nuez;2021;Agosto;30309.8
Nuez;2020;Agosto;297580.2
Nuez;2019;Agosto;95939.5
Nuez;2024;Septiembre;79800
Nuez;2021;Septiembre;75929.8
Nuez;2019;Septiembre;140890.4
Nuez;2021;Octubre;94437.4
Nuez;2020;Octubre;51965.5
Nuez;2019;Octubre;52129.3
Nuez;2020;Noviembre;590
Nuez;2021;Diciembre;128307.7
Nuez;2020;Diciembre;86799.5
Nuez;2019;Diciembre;228731.3
