especie;año;hectareas;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2024;8324.11;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2023;8724.21;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2022;9401.03;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2021;9386.64;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2020;9057.4;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2019;8866.78;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2018;8863.4;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2017;8341.32;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2016;8113.5;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2015;8088.94;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2014;8569.45;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2013;8547.9;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2012;8548.87;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2011;8545.18;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2010;7617.13;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2009;6924.16;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2008;6192.29;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2007;5827.23;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2006;5822.35;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2005;5820.14;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2004;5691.21;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2003;5540.42;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2002;5122.1;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2001;5112.66;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;2000;5121.69;;;;;;;;;;;;;;;;;;;;;;;;
Almendro;1999;5121.93;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2024;49263.54;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2023;36375.1;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2022;36393.23;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2021;24455.81;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2020;24429.5;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2019;24436.78;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2018;13103.55;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2017;13109.76;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2016;13108.74;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2015;8712.1;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2014;8686.88;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2013;8663.66;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2012;5722.38;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2011;3439.67;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2010;3439.67;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2009;3439;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2008;3439;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2007;3439;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2006;1553.17;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2005;868.03;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2004;868.35;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2003;868.85;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2002;874.1;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2001;874.1;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;2000;43.04;;;;;;;;;;;;;;;;;;;;;;;;
Avellano;1999;30.28;;;;;;;;;;;;;;;;;;;;;;;;
Castaño;2024;1455.7;;;;;;;;;;;;;;;;;;;;;;;;
Castaño;2023;1470;;;;;;;;;;;;;;;;;;;;;;;;
Castaño;2022;1470;;;;;;;;;;;;;;;;;;;;;;;;
Castaño;2021;1261.75;;;;;;;;;;;;;;;;;;;;;;;;
