producto;año;mes;Valor CIF acomulado
almendras;2025;septiembre;21.458.208,80
almendras;2024;diciembre;18.298.151,50
almendras;2023;diciembre;11.303.945,20
almendras;2022;diciembre;18.334.097,80
almendras;2021;diciembre;22.054.775,80
almendras;2020;diciembre;21.128.121,50
almendras;2019;diciembre;15.947.198,70
almendras;2018;diciembre;17.894.975,40
almendras;2017;diciembre;16.602.274,10
almendras;2016;diciembre;16.400.466,70
almendras;2015;diciembre;25.606.229,40
almendras;2014;diciembre;34.474.667,90
