Producto;Año;Mes;Valor en CIF
Almendra;2025;Enero;2216273.5
Almendra;2024;Enero;579009.3
Almendra;2023;Enero;502471.6
Almendra;2022;Enero;2420022.4
Almendra;2021;Enero;2642453.5
Almendra;2020;Enero;1449064.7
Almendra;2019;Enero;1887870.2
Almendra;2018;Enero;1943593.2
Almendra;2017;Enero;1037300.5
Almendra;2016;Enero;1422868.5
Almendra;2015;Enero;3171274.7
Almendra;2014;Enero;3981834.4
Almendra;2025;Febrero;1089807.2
Almendra;2024;Febrero;619893.0
Almendra;2023;Febrero;559023.3
Almendra;2022;Febrero;887567.0
Almendra;2021;Febrero;1376198.3
Almendra;2020;Febrero;1404497.0
Almendra;2019;Febrero;621853.1
Almendra;2018;Febrero;1537611.8
Almendra;2017;Febrero;316713.2
Almendra;2016;Febrero;831234.6
Almendra;2015;Febrero;1521978.6
Almendra;2014;Febrero;1778188.8
Almendra;2025;Marzo;2486184.9
Almendra;2024;Marzo;1696173.9
Almendra;2023;Marzo;1482585.7
Almendra;2022;Marzo;1280217.8
Almendra;2021;Marzo;1525179.3
Almendra;2020;Marzo;1723518.0
Almendra;2019;Marzo;1026386.2
Almendra;2018;Marzo;1717145.4
Almendra;2017;Marzo;1591517.2
Almendra;2016;Marzo;795988.4
Almendra;2015;Marzo;2826004.1
Almendra;2014;Marzo;2909747.3
Almendra;2025;Abril;1777563.2
Almendra;2024;Abril;2100880.5
Almendra;2023;Abril;1546764.5
Almendra;2022;Abril;1913389.6
Almendra;2021;Abril;1777099.0
Almendra;2020;Abril;1377380.4
Almendra;2019;Abril;1414191.5
Almendra;2018;Abril;1678115.7
Almendra;2017;Abril;1959339.1
Almendra;2016;Abril;1218551.0
Almendra;2014;Abril;2313334.6
Almendra;2025;Mayo;1406745.1
Almendra;2024;Mayo;1658583.1
Almendra;2023;Mayo;1620503.2
Almendra;2022;Mayo;1444337.4
Almendra;2021;Mayo;2096607.9
Almendra;2020;Mayo;2042265.9
Almendra;2019;Mayo;1226212.3
Almendra;2018;Mayo;1102056.1
Almendra;2017;Mayo;985781.7
Almendra;2016;Mayo;1211952.5
Almendra;2015;Mayo;1397864.6
Almendra;2014;Mayo;3340358.8
Almendra;2025;Junio;4177944.5
Almendra;2024;Junio;696340.4
Almendra;2023;Junio;703629.9
Almendra;2022;Junio;3204598.0
Almendra;2021;Junio;1085231.9
Almendra;2020;Junio;1270418.9
Almendra;2019;Junio;1093683.2
Almendra;2018;Junio;1529672.6
Almendra;2017;Junio;1315243.2
Almendra;2016;Junio;583023.7
Almendra;2015;Junio;3636641.8
Almendra;2014;Junio;5068906.1
Almendra;2025;Julio;1563400.8
Almendra;2024;Julio;1860653.3
Almendra;2023;Julio;1263590.3
Almendra;2022;Julio;2112381.4
Almendra;2021;Julio;1741689.9
Almendra;2020;Julio;2015393.9
Almendra;2019;Julio;955469.6
Almendra;2018;Julio;795264.3
Almendra;2017;Julio;1817713.7
Almendra;2016;Julio;677327.6
Almendra;2015;Julio;3320219.4
Almendra;2014;Julio;3413575.5
Almendra;2025;Agosto;4473812.1
Almendra;2024;Agosto;1612477.5
Almendra;2023;Agosto;1201010.9
Almendra;2022;Agosto;1488997.1
Almendra;2021;Agosto;1790096.7
Almendra;2020;Agosto;2258699.2
Almendra;2019;Agosto;808567.1
Almendra;2018;Agosto;2281217.0
Almendra;2017;Agosto;2508217.9
Almendra;2016;Agosto;2428444.0
Almendra;2015;Agosto;3986767.5
Almendra;2014;Agosto;1792123.6
Almendra;2025;Septiembre;2266477.41
Almendra;2024;Septiembre;2224132.4
Almendra;2023;Septiembre;1023557.2
Almendra;2022;Septiembre;955511.2
Almendra;2021;Septiembre;2450711.3
Almendra;2020;Septiembre;1867863.1
Almendra;2019;Septiembre;1215953.5
Almendra;2018;Septiembre;1536458.7
Almendra;2017;Septiembre;995761.5
Almendra;2016;Septiembre;502572.4
Almendra;2015;Septiembre;2282907.9
Almendra;2014;Septiembre;1671777.2
Almendra;2024;Octubre;1080701.3
Almendra;2023;Octubre;430381.6
Almendra;2022;Octubre;1074396.7
Almendra;2021;Octubre;1398554.7
Almendra;2020;Octubre;1033153.9
Almendra;2019;Octubre;1247667.9
Almendra;2018;Octubre;1300427.9
Almendra;2017;Octubre;700029.3
Almendra;2016;Octubre;1476104.9
Almendra;2015;Octubre;534244.8
Almendra;2014;Octubre;1207564.1
Almendra;2024;Noviembre;2643323.9
Almendra;2023;Noviembre;370604.1
Almendra;2022;Noviembre;841905.5
Almendra;2021;Noviembre;1675168.7
Almendra;2020;Noviembre;2438106.7
Almendra;2019;Noviembre;1795343.7
Almendra;2018;Noviembre;1036210.5
Almendra;2017;Noviembre;1376437.2
Almendra;2016;Noviembre;3058020.6
Almendra;2015;Noviembre;1030995.9
Almendra;2014;Noviembre;3077255.7
Almendra;2024;Diciembre;1525982.9
Almendra;2023;Diciembre;599823.0
Almendra;2022;Diciembre;710773.9
Almendra;2021;Diciembre;2495784.5
Almendra;2020;Diciembre;2247759.9
Almendra;2019;Diciembre;2654000.4
Almendra;2018;Diciembre;1437202.4
Almendra;2017;Diciembre;1998219.6
Almendra;2016;Diciembre;2194378.5
Almendra;2015;Diciembre;1897330.1
Almendra;2014;Diciembre;3920001.9
