Producto;Año;Mes;Valor en CIF
Pistacho;2025;Enero;8544,6
Pistacho;2021;Enero;336330,8
Pistacho;2020;Enero;136146,3
Pistacho;2014;Enero;126280,5
Pistacho;2025;febrero;16540,3
Pistacho;2023;Febrero;284659,2
Pistacho;2021;Febrero;153556,4
Pistacho;2020;Febrero;114655,9
Pistacho;2019;Febrero;121019,9
Pistacho;2017;Febrero;46282,5
Pistacho;2016;Febrero;618210,1
Pistacho;2015;Febrero;139743,1
Pistacho;2025;Marzo;112418,8
Pistacho;2024;Marzo;150411,3
Pistacho;2022;Marzo;99000
Pistacho;2021;Marzo;116988,9
Pistacho;2019;Marzo;110193,5
Pistacho;2014;Marzo;19470,4
Pistacho;2025;Abril;187636,8
Pistacho;2023;Abril;159774
Pistacho;2022;Abril;141024,7
Pistacho;2021;Abril;290940
Pistacho;2020;Abril;135488
Pistacho;2018;Abril;61792,4
Pistacho;2017;Abril;92647,1
Pistacho;2016;Abril;87576
Pistacho;2025;Mayo;189375,3
Pistacho;2024;Mayo;326159
Pistacho;2023;Mayo;44499,9
Pistacho;2022;Mayo;151343
Pistacho;2021;Mayo;261705,2
Pistacho;2019;Mayo;1350,9
Pistacho;2018;Mayo;104,6
Pistacho;2015;Mayo;181378,1
Pistacho;2014;Mayo;292656,6
Pistacho;2025;Junio;462097
Pistacho;2023;Junio;325543,2
Pistacho;2022;Junio;394577
Pistacho;2016;Junio;106306,1
Pistacho;2015;Junio;112704,2
Pistacho;2014;Junio;208104,7
Pistacho;2025;Julio;213921,5
Pistacho;2021;Julio;337,1
Pistacho;2019;Julio;235597,7
Pistacho;2018;Julio;95250
Pistacho;2017;Julio;46236,1
Pistacho;2016;Julio;135630,5
Pistacho;2015;Julio;65616
Pistacho;2025;Agosto;220012,5
Pistacho;2024;Agosto;442075,8
Pistacho;2023;Agosto;164049,8
Pistacho;2021;Agosto;428385,8
Pistacho;2020;Agosto;180388
Pistacho;2019;Agosto;238184,3
Pistacho;2017;Agosto;97124
Pistacho;2016;Agosto;105783
Pistacho;2014;Agosto;64921,3
Pistacho;2025;Septiembre;575341,12
Pistacho;2024;Septiembre;113784,4
Pistacho;2023;Septiembre;175883,9
Pistacho;2022;Septiembre;123662,1
Pistacho;2021;Septiembre;166711,9
Pistacho;2019;Septiembre;123975
Pistacho;2022;Octubre;157080
Pistacho;2020;Octubre;123650,2
Pistacho;2017;Octubre;3960,6
Pistacho;2024;Noviembre;161935,2
Pistacho;2023;Noviembre;47416,5
Pistacho;2022;Noviembre;151343
Pistacho;2021;Noviembre;1339,6
Pistacho;2020;Noviembre;118389,6
Pistacho;2018;Noviembre;97239,8
Pistacho;2017;Noviembre;44822,2
Pistacho;2024;Diciembre;149650
Pistacho;2023;Diciembre;299772
Pistacho;2021;Diciembre;65,7
Pistacho;2020;Diciembre;208992,8
Pistacho;2017;Diciembre;19110,8
Pistacho;2015;Diciembre;988
Pistacho;2014;Diciembre;80649,8
